date,open,high,low,close,volume
2025-01-29,232.633669,238.337234,232.524367,237.840408,45486100
2025-01-30,237.154811,239.261347,235.704088,236.081665,55658300
2025-01-31,245.620733,245.620733,231.958024,234.50177,100959800
2025-02-03,228.529926,230.358241,224.267152,226.562485,73063300
2025-02-04,225.807299,231.649974,225.211102,231.322067,45067300
2025-02-05,227.079167,231.192883,226.820823,230.994156,39620300
2025-02-06,229.82164,232.315715,228.967099,231.739395,29925300
2025-02-07,231.123355,232.514461,225.817245,226.184906,39707200
2025-02-10,228.363382,229.37801,226.005829,226.453461,33115600
2025-02-11,227.000587,233.993637,226.930963,231.397354,53718400
2025-02-12,229.984818,235.714554,229.467547,235.625015,45243300
2025-02-13,235.664801,241.066254,234.331848,240.260513,53614100
2025-02-14,239.981994,244.259396,239.723366,243.314392,40896200
2025-02-18,242.866748,243.891334,240.568892,243.185074,48822500
2025-02-19,243.374074,244.71697,241.881958,243.582962,32204200
2025-02-20,243.652597,245.482922,243.006004,244.537918,32316900
2025-02-21,244.657276,247.38288,243.931117,244.259384,53197400
2025-02-24,243.642646,247.551998,243.135332,245.801254,51326400
2025-02-25,246.696508,248.685995,243.622752,245.741547,48013300
2025-02-26,243.045815,243.692392,237.873149,239.09668,44433600
2025-02-27,238.15166,241.185632,235.814006,236.05275,41153600
2025-02-28,235.704596,240.817579,228.990073,240.568893,56833400
2025-03-03,240.519132,242.747364,234.868994,236.7789,47184000
2025-03-04,236.4606,238.808196,233.446511,234.689941,53798100
2025-03-05,234.182621,235.306686,228.025153,234.500946,47227600
2025-03-06,233.207803,236.609826,231.934532,234.093124,45170400
2025-03-07,233.874283,240.101376,233.526117,237.813477,46273600
2025-03-10,234.302013,234.918765,223.041518,226.284378,72071200
2025-03-11,222.633667,224.652996,216.307094,219.679276,76137400
2025-03-12,218.982949,220.584487,213.780442,215.839554,62547500
2025-03-13,214.814976,215.700298,207.324555,208.577927,61368300
2025-03-14,210.139673,212.825478,208.478452,212.367905,60107600
2025-03-17,212.188823,214.088787,208.866382,212.875198,48073400
2025-03-18,213.034388,214.019175,210.378423,211.572113,42432400
2025-03-19,213.09406,217.610192,212.62653,214.108704,54385400
2025-03-20,212.865278,216.346883,211.104577,212.974701,48862900
2025-03-21,210.448033,217.689768,210.169506,217.122772,94127800
2025-03-24,219.838425,220.315897,217.431146,219.569839,44299500
2025-03-25,219.609642,222.922141,218.923266,222.573975,34493600
2025-03-26,222.335251,223.837324,219.311235,220.365662,34466100
2025-03-27,220.226385,223.80747,219.400745,222.673462,37094800
2025-03-28,220.504904,222.633656,216.53587,216.754715,39818600
2025-03-31,215.869379,224.434125,215.09348,220.962479,65299300
2025-04-01,218.654667,222.504322,217.749447,222.016907,36412700
2025-04-02,220.156757,224.006412,219.858331,222.713242,35905900
2025-04-03,204.459664,206.399427,200.192219,202.122025,103419000
2025-04-04,192.870927,198.829449,186.35535,187.389893,125910900
2025-04-07,176.268652,193.129561,173.70221,180.506271,160466300
2025-04-08,185.71869,189.339558,168.320629,171.513748,120859500
2025-04-09,171.046232,199.555599,170.98655,197.804855,184395900
2025-04-10,188.076248,193.756228,182.038145,189.419144,121880000
2025-04-11,185.121867,198.491214,185.082069,197.108521,87435900
2025-04-14,210.328665,211.820781,200.102699,201.455551,101352900
2025-04-15,200.799018,202.44034,198.749848,201.077545,51343900
2025-04-16,197.3174,199.645097,191.358879,193.248901,59732400
2025-04-17,196.163517,197.784954,193.398129,195.944672,52164700
2025-04-21,192.254183,192.781396,188.812362,192.14476,46742500
2025-04-22,195.089187,200.530438,194.939981,198.69017,52976400
2025-04-23,204.917279,206.906767,201.734101,203.524643,52929200
2025-04-24,203.813091,207.732384,201.873343,207.274796,47311000
2025-04-25,205.28533,208.647569,205.116225,208.180038,38222300
2025-04-28,208.896228,210.388344,206.369585,209.035492,38743100
2025-04-29,207.593125,211.124469,207.2748,210.099884,36827600
2025-04-30,208.199925,212.457428,205.583743,211.383102,52286500
2025-05-01,207.981072,213.432264,207.80201,212.198792,57365700
2025-05-02,205.006776,205.902055,201.09744,204.270676,101010600
2025-05-05,202.03253,203.027274,197.168232,197.84465,69018500
2025-05-06,197.168218,199.595381,195.98447,197.466629,51216500
2025-05-07,198.123172,198.391757,192.234289,195.218521,68536700
2025-05-08,196.680798,198.998553,193.656768,196.452011,50478900
2025-05-09,197.954073,199.485972,196.50174,197.486542,36453900
2025-05-12,210.136358,210.435176,205.933032,209.957062,63775800
2025-05-13,209.598471,212.556737,208.174129,212.088593,51909300
2025-05-14,211.590563,213.094605,209.747882,211.490967,49325800
2025-05-15,210.116432,212.118499,208.712,210.614456,45029500
2025-05-16,211.520846,211.730022,208.941084,210.425186,54737900
2025-05-19,207.088445,208.652233,203.452858,207.955002,46140500
2025-05-20,206.849384,207.646226,204.219817,206.042587,42496600
2025-05-21,204.359259,206.221864,199.916891,201.291428,59211800
2025-05-22,199.91689,201.948823,198.910872,200.564316,46742400
2025-05-23,192.904714,196.918788,192.695552,194.498398,78432900
2025-05-27,197.516413,199.946773,196.64984,199.418869,56288500
2025-05-28,199.797363,201.928906,199.110087,199.628036,45339700
2025-05-29,202.775542,203.004629,197.725569,199.159882,51396800
2025-05-30,198.582173,201.16195,196.002411,200.056335,70819900
2025-06-02,199.488582,201.331278,199.329211,200.902969,35423300
2025-06-03,200.554355,202.964791,200.165897,202.466766,46381600
2025-06-04,202.108211,205.425054,201.301414,202.01857,43604000
